,RESELLER,GENDER,BRAND,Price_Original,LM_Ratings,LM_Positive
85,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
86,Vision Express,Man,EMPORIO ARMANI,599.0,0,0.0
87,Vision Express,Man,RAY BAN,549.0,0,0.0
88,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
89,Vision Express,Man,D BY D,99.0,0,0.0
90,Vision Express,Man,PUMA,399.0,0,0.0
91,Vision Express,Man,RAY BAN,499.0,0,0.0
92,Vision Express,Man,SOLARIS,199.0,0,0.0
93,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
94,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
95,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
96,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
97,Vision Express,Man,SEEN,79.0,0,0.0
98,Vision Express,Man,POLAROID,279.0,0,0.0
99,Vision Express,Man,PUMA,599.0,0,0.0
100,Vision Express,Man,EMPORIO ARMANI,599.0,0,0.0
101,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
102,Vision Express,Man,HUGO,599.0,0,0.0
103,Vision Express,Man,HUGO,499.0,0,0.0
104,Vision Express,Man,TOMMY HILFIGER,449.0,0,0.0
105,Vision Express,Man,UNOFFICIAL,99.0,0,0.0
106,Vision Express,Man,POLAROID,279.0,0,0.0
107,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
108,Vision Express,Man,D BY D,69.0,0,0.0
109,Vision Express,Man,POLAROID,279.0,0,0.0
110,Vision Express,Man,PRIVE REVAUX,199.0,0,0.0
111,Vision Express,Man,HUGO,499.0,0,0.0
112,Vision Express,Man,SOLARIS,249.0,0,0.0
113,Vision Express,Man,UNOFFICIAL,199.0,0,0.0
114,Vision Express,Man,POLAROID,279.0,0,0.0
115,Vision Express,Man,UNOFFICIAL,249.0,0,0.0
116,Vision Express,Man,RAY BAN,599.0,0,0.0
117,Vision Express,Man,SEEN,59.0,0,0.0
118,Vision Express,Man,RAY BAN,649.0,0,0.0
119,Vision Express,Man,EMPORIO ARMANI,549.0,0,0.0
120,Vision Express,Man,UNOFFICIAL,149.0,0,0.0
121,Vision Express,Man,POLAROID,279.0,0,0.0
122,Vision Express,Man,D BY D,99.0,0,0.0
