,RESELLER,Discount
984,Eyerim,NO
985,Eyerim,NO
986,Eyerim,NO
987,Eyerim,NO
988,Eyerim,NO
989,Eyerim,NO
990,Eyerim,YES
991,Eyerim,NO
992,Eyerim,NO
993,Eyerim,NO
994,Eyerim,NO
995,Eyerim,NO
996,Eyerim,NO
997,Eyerim,NO
998,Eyerim,YES
999,Eyerim,NO
1000,Eyerim,NO
1001,Eyerim,YES
1002,Eyerim,YES
1003,Eyerim,YES
1004,Eyerim,YES
1005,Eyerim,NO
1006,Eyerim,NO
1007,Eyerim,NO
1008,Eyerim,NO
1009,Eyerim,NO
1010,Eyerim,NO
1011,Eyerim,NO
1012,Eyerim,NO
1013,Eyerim,NO
1014,Eyerim,NO
1015,Eyerim,NO
1016,Eyerim,NO
1017,Eyerim,NO
1018,Eyerim,NO
1019,Eyerim,NO
1020,Eyerim,NO
1021,Eyerim,NO
1022,Eyerim,NO
1023,Eyerim,NO
1024,Eyerim,NO
1025,Eyerim,NO
1026,Eyerim,NO
1027,Eyerim,NO
1028,Eyerim,NO
1029,Eyerim,NO
1030,Eyerim,NO
1031,Eyerim,NO
1032,Eyerim,NO
1033,Eyerim,NO
1034,Eyerim,NO
1035,Eyerim,NO
1036,Eyerim,NO
1037,Eyerim,NO
1038,Eyerim,NO
1039,Eyerim,NO
1040,Eyerim,NO
1041,Eyerim,NO
1042,Eyerim,NO
1043,Eyerim,NO
1044,Eyerim,NO
1045,Eyerim,NO
1046,Eyerim,NO
1047,Eyerim,NO
1048,Eyerim,NO
1049,Eyerim,NO
1050,Eyerim,NO
1051,Eyerim,NO
1052,Eyerim,NO
1053,Eyerim,NO
1054,Eyerim,NO
1055,Eyerim,NO
1056,Eyerim,NO
1057,Eyerim,NO
1058,Eyerim,YES
1059,Eyerim,NO
1060,Eyerim,NO
1061,Eyerim,NO
1062,Eyerim,NO
1063,Eyerim,NO
1064,Eyerim,NO
1065,Eyerim,NO
1066,Eyerim,NO
1067,Eyerim,NO
1068,Eyerim,YES
1069,Eyerim,YES
1070,Eyerim,NO
1071,Eyerim,NO
1072,Eyerim,NO
1073,Eyerim,NO
1074,Eyerim,NO
1075,Eyerim,YES
1076,Eyerim,YES
1077,Eyerim,NO
1078,Eyerim,NO
1079,Eyerim,NO
1080,Eyerim,NO
1081,Eyerim,NO
1082,Eyerim,NO
1083,Eyerim,NO
1084,Eyerim,NO
1085,Eyerim,NO
1086,Eyerim,NO
1087,Eyerim,NO
1088,Eyerim,NO
1089,Eyerim,NO
1090,Eyerim,NO
1091,Eyerim,NO
1092,Eyerim,NO
1093,Eyerim,NO
1094,Eyerim,NO
1095,Eyerim,NO
1096,Eyerim,NO
1097,Eyerim,NO
1098,Eyerim,NO
1099,Eyerim,NO
1100,Eyerim,NO
1101,Eyerim,NO
1102,Eyerim,NO
1103,Eyerim,NO
1104,Eyerim,NO
1105,Eyerim,NO
1106,Eyerim,NO
1107,Eyerim,NO
1108,Eyerim,NO
1109,Eyerim,NO
1110,Eyerim,NO
1111,Eyerim,NO
1112,Eyerim,NO
1113,Eyerim,NO
1114,Eyerim,NO
1115,Eyerim,NO
1116,Eyerim,NO
1117,Eyerim,NO
1118,Eyerim,NO
1119,Eyerim,NO
1120,Eyerim,NO
1121,Eyerim,NO
1122,Eyerim,NO
1123,Eyerim,NO
1124,Eyerim,NO
1125,Eyerim,NO
1126,Eyerim,NO
1127,Eyerim,NO
1128,Eyerim,NO
1129,Eyerim,NO
1130,Eyerim,NO
1131,Eyerim,YES
1132,Eyerim,YES
1133,Eyerim,NO
1134,Eyerim,NO
1135,Eyerim,YES
1136,Eyerim,YES
1137,Eyerim,YES
1138,Eyerim,NO
1139,Eyerim,NO
1140,Eyerim,NO
1141,Eyerim,NO
1142,Eyerim,NO
1143,Eyerim,NO
1144,Eyerim,NO
1145,Eyerim,NO
1146,Eyerim,NO
1147,Eyerim,NO
1148,Eyerim,NO
1149,Eyerim,NO
1150,Eyerim,NO
1151,Eyerim,NO
1152,Eyerim,NO
1153,Eyerim,NO
1154,Eyerim,NO
1155,Eyerim,NO
1156,Eyerim,NO
1157,Eyerim,NO
1158,Eyerim,NO
1159,Eyerim,NO
1160,Eyerim,NO
1161,Eyerim,NO
1162,Eyerim,NO
1163,Eyerim,NO
1164,Eyerim,NO
1165,Eyerim,NO
1166,Eyerim,NO
1167,Eyerim,NO
1168,Eyerim,NO
1169,Eyerim,NO
1170,Eyerim,NO
1171,Eyerim,NO
1172,Eyerim,NO
1173,Eyerim,NO
1174,Eyerim,NO
1175,Eyerim,NO
1176,Eyerim,NO
1177,Eyerim,YES
1178,Eyerim,NO
1179,Eyerim,NO
1180,Eyerim,NO
1181,Eyerim,NO
1182,Eyerim,NO
1183,Eyerim,NO
1184,Eyerim,NO
1185,Eyerim,NO
1186,Eyerim,NO
1187,Eyerim,NO
1188,Eyerim,NO
1189,Eyerim,NO
1190,Eyerim,YES
1191,Eyerim,NO
1192,Eyerim,NO
1193,Eyerim,YES
1194,Eyerim,YES
1195,Eyerim,NO
1196,Eyerim,NO
1197,Eyerim,NO
1198,Eyerim,NO
1199,Eyerim,NO
1200,Eyerim,NO
1201,Eyerim,NO
1202,Eyerim,NO
1203,Eyerim,NO
1204,Eyerim,NO
1205,Eyerim,NO
1206,Eyerim,YES
1207,Eyerim,NO
1208,Eyerim,NO
1209,Eyerim,NO
1210,Eyerim,NO
1211,Eyerim,NO
1212,Eyerim,NO
1213,Eyerim,NO
1214,Eyerim,NO
1215,Eyerim,NO
1216,Eyerim,NO
1217,Eyerim,NO
1218,Eyerim,NO
1219,Eyerim,NO
1220,Eyerim,NO
1221,Eyerim,NO
1222,Eyerim,NO
1223,Eyerim,NO
1224,Eyerim,NO
1225,Eyerim,NO
1226,Eyerim,NO
1227,Eyerim,NO
1228,Eyerim,NO
1229,Eyerim,NO
1230,Eyerim,NO
1231,Eyerim,NO
1232,Eyerim,NO
1233,Eyerim,NO
1234,Eyerim,NO
1235,Eyerim,YES
1236,Eyerim,NO
1237,Eyerim,YES
1238,Eyerim,NO
1239,Eyerim,YES
1240,Eyerim,NO
1241,Eyerim,YES
1242,Eyerim,YES
1243,Eyerim,NO
1244,Eyerim,NO
1245,Eyerim,YES
1246,Eyerim,YES
1247,Eyerim,YES
1248,Eyerim,NO
1249,Eyerim,NO
1250,Eyerim,NO
1251,Eyerim,NO
1252,Eyerim,NO
1253,Eyerim,NO
1254,Eyerim,NO
1255,Eyerim,NO
1256,Eyerim,NO
1257,Eyerim,NO
1258,Eyerim,NO
1259,Eyerim,NO
1260,Eyerim,NO
1261,Eyerim,NO
1262,Eyerim,NO
1263,Eyerim,NO
1264,Eyerim,NO
1265,Eyerim,NO
1266,Eyerim,NO
1267,Eyerim,NO
1268,Eyerim,NO
1269,Eyerim,NO
1270,Eyerim,NO
1271,Eyerim,NO
1272,Eyerim,NO
1273,Eyerim,NO
1274,Eyerim,NO
1275,Eyerim,NO
1276,Eyerim,NO
1277,Eyerim,NO
1278,Eyerim,NO
1279,Eyerim,NO
1280,Eyerim,NO
1281,Eyerim,NO
1282,Eyerim,NO
1283,Eyerim,NO
1284,Eyerim,NO
1285,Eyerim,NO
1286,Eyerim,NO
1287,Eyerim,NO
1288,Eyerim,NO
1289,Eyerim,NO
1290,Eyerim,NO
1291,Eyerim,NO
1292,Eyerim,NO
1293,Eyerim,NO
1294,Eyerim,NO
1295,Eyerim,NO
1296,Eyerim,NO
1297,Eyerim,NO
1298,Eyerim,NO
1299,Eyerim,NO
1300,Eyerim,NO
1301,Eyerim,NO
1302,Eyerim,NO
1303,Eyerim,NO
1304,Eyerim,NO
1305,Eyerim,NO
1306,Eyerim,YES
1307,Eyerim,YES
1308,Eyerim,NO
1309,Eyerim,YES
1310,Eyerim,YES
1311,Eyerim,NO
1312,Eyerim,YES
1313,Eyerim,YES
1314,Eyerim,YES
1315,Eyerim,NO
1316,Eyerim,NO
1317,Eyerim,NO
1318,Eyerim,NO
1319,Eyerim,NO
1320,Eyerim,NO
1321,Eyerim,NO
1322,Eyerim,NO
1323,Eyerim,NO
1324,Eyerim,NO
1325,Eyerim,NO
1326,Eyerim,NO
1327,Eyerim,NO
